abandon,v./n.放弃；放纵
insular,a.岛屿的；心胸狭窄的
insularity,"n.岛国状态，岛屿生活状况，与外界隔绝的生活状况；(思想, 观点等的)偏狭，性僵化"
insulate,v.使绝缘；使隔离
insulin,n.胰岛素
insurgent,a.叛乱的，起事的；n.叛乱分子
insurrection,n.造反，叛乱
intact,a.完整的，未动过的
intangibility,n.无形，不可接触
intangible,a.不可触摸的
integral,a.构成整体所必需的；完整的
integrate,v.使成整体
integrity,n.正直，诚实；完整
intellect,n.智力，思维能力
intellectual,a.智力的，理智的；n.知识分子
intelligible,a.可了解的，清晰的
intensify,v.加剧
intent,a.专心的，渴望的；n.目的，意向
intentional,a.存心的，故意的
inter,v.埋葬
interaction,n.相互作用(影响)
intercede,v.说好话，代为求情
intercept,v.中途拦截，截取
intercessor,n.仲裁者
interchangeable,a.可互换的
interdict,v.禁止；切断(补给线)
interference,n.干涉，妨碍
interim,n.中间时期，过渡时期；a.暂时的
interjection,n.插入语；感叹词
interlock,v.连锁，连串
interlocking,a.连锁的
interlude,n.(活动间的)暂时休息
intermediary,n.仲裁者；中间物；a.中间的，媒介的
interminable,a.无尽头的
intermingle,v.混合，掺杂
intermission,n.暂停，间歇
intermittent,a.断断续续的，间歇的
intern,v.拘禁，软禁；n.实习生
internecine,a.内讧的，两败俱伤的
interplay,v./n.相互影响
interpolate,v.插入；篡改
interpose,v.置于…之间；使介入
interregnum,n.无王时期
interrogate,v.审问，审讯
interrogative,a.疑问的
interrupt,v.暂时中止；打断，打扰
intersect,v.横截，横断
intersperse,v.散布；点缀
intertwine,v.纠缠，缠，绕
intervene,v.干涉，介入
intimate,a.亲密的；n.密友；v.暗示
intimidate,v.恐吓；胁迫
intoxicate,v.(使)沉醉，(使)欣喜若狂；(使)喝醉
intractable,a.倔强的；难管的
intransigent,a.不妥协的
intrepid,a.无畏的，刚毅的
intricacy,n.错综，复杂，纷乱
intricate,a.复杂难懂的
intrigue,v.密谋；引起…极大兴趣
introspective,a.自省的
intrude,v.把(思想等)强加于，闯入
intuition,n.直觉
intuitive,a.直觉的
inundate,v.淹没；泛滥
inured,a.习惯的
invade,v.侵犯，侵入
invective,n.猛烈抨击，痛骂
inveigh,v.痛骂，抨击
inveigle,v.诱骗，诱使
inventory,n.详细目录；存货清单
inverse,a.相反的；倒转的
invert,v.上下倒置
invertebrate,adj./n.无脊椎的(动物)
investigate,v.调查
inveterate,a.积习已深的
invidious,a.惹人反感的，导致伤害和仇恨的，招人嫉妒的
invigorate,v.鼓舞，激励
invigorating,a.使人有精神的，使人健壮的
inviolable,a.不可侵犯的；不可亵渎的
invoke,v.祈求；恳求；(法律的)实施生效
involuntary,a.无意的
invulnerable,a.无法伤害的
iodine,n.碘；碘酒
iota,n.极小量，极少
irascible,a.易发怒的
irate,a.发怒的
ire,n.愤怒；v.激怒
iridescent,a.闪彩光的，现晕光的
irk,v.使苦恼的，厌烦
irksome,a.令人苦恼的，讨厌的
ironclad,a.装铁甲的；坚固的
ironic,a.挖苦的；出乎意料的
irony,n.反话
irradicable,a.不能根除的
irreconcilable,a.不能协调的，矛盾的
irredeemable,a.无法挽回的
irreducible,a.不能约的
irremediable,a.无法治愈的，无法纠正的
irrepressible,a.无法约束或阻止的
irrevocable,a.无法取消的
irrigate,v.灌溉
irritable,a.易怒的；易受刺激的
irritate,v.激怒；刺激
irritation,n.愤怒，急躁，刺激
isolate,v.孤立；将…从其种群中隔离
isotope,n.同位素
issue,v.出来，流出；发给，分发；n.(书刊的)期
isthmus,n.地峡
itinerant,a.巡回的，流动的
itinerary,n.行程表；旅行路线
ivory,n.象牙，长牙
jabber,v.快而不清楚地说
jade,n.疲惫的老马；玉，翡翠
jaded,a.疲惫的；厌倦的；(胶卷)暴光过分的
jagged,a.锯齿状的，不整齐的
jamb,n.门窗的侧柱
jar,v.冲突，抵触；震惊；发刺耳声
jargon,n.暗语；行话
jarring,a.声音刺耳的
jaundice,n.偏见；黄疸
jaundiced,a.有偏见的
jaunt,n./v.短程旅游
jaunty,a.愉快的，满足的
jazz,n.爵士乐；喧闹
jealousy,n.猜忌，嫉妒
jeer,v.嘲笑
jejune,a.空洞的；不成熟的
jerk,n./v.突然猛拉
jeopardize,v.危及，危害
jeopardy,n.危险
jest,v./n.说笑，玩笑
jettison,v.(船)向外抛弃东西；n.抛弃的货物
jibe,v.与…一致，符合
jigsaw,n.拼图游戏
jingoism,n.沙文主义；侵略主义
jockey,n.骑师；v.用计谋获取
jocular,a.滑稽的，诙谐的；嬉戏的
jocund,a.快乐的，高兴的
jog,v.慢而平静地前进
jolt,v.颠簸着移动；n.震动，摇晃
jot,v.摘要记录
jovial,a.愉快的
jubilation,n.欢快，欢庆
judicial,a.法庭的，法官的
judicious,a.有判断力的；明智的
judiciousness,n.明智
juggernaut,n.摧毁一切的强大力量
jumble,v.混杂，掺杂；n.混杂，掺杂
junction,n.交叉路口；连接
jurisdiction,n.司法权，审判权，裁判权
justifiable,a.有理由的，无可非议的
justification,n.正当理由，好的（正义的）原因；辨护
justify,v.证明…是正当的
juvenile,a.少年的，似少年的
juxtapose,v.并排，并置
kaleidoscope,n.万花筒；产生有趣的对称效果
kangaroo,n.袋鼠
ken,n.视野范围；知识范围
kennel,n.狗舍，狗窝
kernel,n.果仁；核心
kidnap,v.诱拐，绑架，勒赎
kidney,n.肾
killjoy,n.令人扫兴的人
kin,n.亲属
kindle,v.着火，点燃
kindred,a.同类的，种族的
kinetic,a.运动的
knack,n.特殊能力；窍门
knave,n.流氓，恶棍
knead,v.揉制，捏制
knit,v.编织
knotty,a.有节疤的
know-how,n.专业技能，知识
kudos,n.荣誉
labile,a.不稳定的
labored,a.吃力的；(文体等)不自然的
labyrinth,n.迷宫
lace,n.鞋带，系带；网眼花边，透孔织品
lacerate,v.撕裂；深深伤害
lachrymose,a.好流泪的；引人落泪的
lackadaisical,a.无精打采的；无兴趣的
lackluster,a.无光泽的；呆滞的
laconic,a.简洁的
lactic,a.乳汁的
lag,v.落后，滞留
lair,n.野兽的巢穴；躲藏处
laity,n.俗信徒，俗人阶级；外行
lambaste,v.痛打；痛骂
lament,v./n.悲伤；哀悼
lampoon,n.讽刺文章；v.讽刺
lance,n.长矛；鱼叉
lancet,n.手术刀
landfill,n.垃圾堆
landlocked,a.被陆地包围的
landmark,n.陆标；里程碑
landslide,n.山崩；压倒性胜利
languid,a.没精打采的，倦怠的
languish,v.变得消瘦；衰弱
languor,n.身心疲惫
lank,a.瘦削的；长而软的
lap,v.舔食；泼溅
lapse,n.失误；(时间等)流逝
larder,n.食品室
largess,n.赠送，赏赐；赠品；贺礼
largesse,n.慷慨援助；施舍
lark,n./v.玩乐，嬉耍
larva,n.(昆虫的)幼虫
lash,n.鞭子；v.鞭打；捆住
lassitude,n.无力；没精打采
lasso,n.套索(捕捉牛、马用)
lasting,a.持久的，永久的
latency,n.潜伏期
latent,a.潜伏的
lateral,a.侧面的
lathe,n.车床
latitude,n.言行自由；纬度
lattice,n.(做篱笆或爬藤架等的)格子架
laud,v.称赞
lava,n.熔岩
lave,v.洗浴；慢慢冲刷
lavish,a.浪费的；丰富的
laxative,a.(药)通便的；放松的；n.轻泻药
leak,v.泄漏；n.泄漏；漏出量，漏洞
leakage,n.渗漏，漏出
lease,n.租约；租期；v.出租
leaven,n.发酵剂；影响力；v.发酵；影响
lectern,n.教堂里的读经台
ledger,n.账簿
leer,v.斜眼看，送秋波
leery,a.机警的，怀疑的
legacy,n.遗产；遗留之物
legend,n.地图里的说明文字或图例
legerdemain,n.手法；戏法
legion,n.兵团；一大群
legislate,v.制定法律
legislation,n.法律，法规，立法
legislature,n.立法机关，立法团体
legitimate,a.合法的；正当的
leisureliness,n.悠然，从容
leniency,n.温和，宽容
lenient,a.宽大的；仁慈的
lethal,a.致命的
lethargic,a.昏睡的
lethargy,n.昏睡；倦怠；呆滞懒散
levee,n.防洪堤；堤岸
levelheaded,a.头脑冷静的，稳健的
lever,n.杠杆；v.撬动
levity,n.轻率；轻浮
levy,v./n.征税；征兵
lexicographer,n.词典编纂人
liability,n.责任；债务
liaison,n.联系；暧昧关系
libel,v./n.(文字)诽谤，中伤
liberality,n.慷慨；心胸开阔
liberate,v.释放，解放
libertine,n.性行为放纵者，浪荡的人
liberty,n.随意，冒失
libretto,n.(歌剧等)歌词；剧本
license,n.放肆，自由；许可证，执照
licentious,a.纵欲的；放肆的
lien,n.扣押权；留置权
ligneous,a.木质的，木头的
liken,v.把…比作…
limb,n.肢(手或脚)，翼
limber,a.易弯曲的；敏捷的
limerick,n.五行打油诗
limestone,n.石灰岩
limited,a.有限的
limn,v.描写；画
limousine,n.大型轿车，大客车
limp,v.跛行；a.软弱的，松软的
limpid,a.清澈的；透明的
lineage,n.宗系，血统
linear,a.线的；成直线的
linen,n.亚麻织品，亚麻布
linger,v.逗留，留恋
linguistic,a.语言的
linguistics,n.语言学
linoleum,n.油毡
lint,n.绷带用麻布，皮棉
lionize,v.崇拜，看重
liquefy,v.(使)液化，(使)溶解
liquid,a.清澈的
liquidate,v.清算；清偿
lissome,a.姿态优雅的，柔软的
list,v./n.倾斜
listless,a.无精打采的
literal,a.字面上的；忠实原义的；精确的
literate,a.有读写能力的；有文化修养的
literati,n.文人；学者(复数)
lithe,a.柔软的，易弯曲的；敏捷的，轻快的
litigant,n.诉讼当事人
litigation,n.诉讼
litter,n.垃圾；一窝(动物)
loaf,n.一条(面包)；v.虚度光阴
loath,a.不情愿的，勉强的
loathe,v.憎恨，厌恶
lobby,n.大厅，休息厅
lobe,n.耳垂；(肺、肝等的)叶
locale,n.事件发生的现场、地点
locomotion,n.运动，移动
locomotive,a.移动的；n.机车，火车头
locus,n.地点，所在地
lode,n.矿脉
lofty,a.崇高的，高尚的
log,n./v.日志，记录；n.一段大木头；圆木
logistics,n.后勤学；后勤
loll,v.懒洋洋地坐或卧
longevity,n.长寿
longing,n.渴望
long-winded,a.冗长的
loom,n.织布机；v.(威胁性)隐约出现
loon,n.愚人；疯子
loop,n.圈，金属线圈
loophole,n.枪眼，小窗，换气孔
loosen,v.变松，松开
lope,n.轻快的步伐；v.使大步慢跑；跳跃
lopsided,a.倾向一方的，不平衡的
loquacious,a.多嘴的，饶舌的
lot,n.签；命运；v.抽签，划分
lottery,n.彩票，抽彩给奖法
lounge,v.懒散地斜靠；n.休息室
loutish,a.粗鲁的
low,v.牛叫
loyal,a.忠诚的，忠贞的，忠心的
lubricant,n.润滑剂
lubricate,v.润滑
lucid,a.表达清楚的，明白易懂的
lucrative,a.赚钱的，有利可图的
ludicrous,a.荒唐可笑的
lug,v./n.拖，拉
lukewarm,a.微温的，不热心的
lull,n.活动的暂停；v.使平静
lullaby,n.摇篮曲
lumber,v.蹒跚而行，笨拙地走；n.杂物；木材
lumberjack,n.伐木工
lumen,n.流明(光通量单位)
luminary,n.杰出人物，名人
lump,n.一块，肿块；v.形成块状
lunar,a.月亮的
lunatic,n.疯子；a.极蠢的
lurch,n.突然向前或旁边倒；v.蹒跚而行
lurid,a.耀眼的；骇人听闻的
lurk,v.潜伏，埋伏
lush,a.繁茂的，茂盛的
lust,n.强烈的欲望
lustrous,a.有光泽的
luxuriant,a.繁茂的；肥沃的
luxurious,a.奢侈的，豪华的
luxury,n.奢侈(品)
lyric,a.抒情的；n.抒情诗；歌词
macabre,a.骇人的，可怖的
macerate,v.浸软；消瘦
machination,n.阴谋
maculated,a.有斑点的
madrigal,n.抒情短诗，情歌，合唱曲
maelstrom,n.大漩涡；大混乱
magenta,n./a.紫红色(的)；n.紫红色的染料
magisterial,a.有权威的；威风的
magnanimity,n.慷慨
magnanimous,a.宽宏大量的，慷慨的
magnate,n.财主，巨头
magnificent,a.壮丽的，宏伟的；高尚的
magnify,v.放大；赞美
magnitude,n.重要；星球的光亮度
magpie,n.鹊；饶舌的人
maintenance,n.维持，维护
maize,n.玉米
majestic,a.雄伟的，庄严的
maladroit,a.笨拙的
malaise,n.不适，不舒服
malapropism,n.字的误用
malcontent,a.不满的；n.不满分子，反抗者
malevolent,a.有恶意的，恶毒的
malfeasance,n.不法行为，渎职
malfunction,v.发生故障；n.故障，障碍
malicious,a.恶意的，怨毒的
malign,v.诽谤，中伤；a.邪恶的
malinger,v.装病以逃避工作
malleable,a.可塑的，易改变的
malpractice,n.玩忽职守，渎职
mammal,n.哺乳动物
mammoth,a.巨大的
mandate,n.命令，指令
mandatory,a.命令的，强迫的
mangle,v.毁损；撕成碎片，压碎
mania,n.癫狂；狂热
manifest,a.显然的
manifestation,n.表明，显示
manifesto,n.宣言，声明
manifold,a.繁多的；多种的
manipulate,v.操纵
manipulative,a.操纵别人的，老于世故的
mannered,a.做作的
mansion,n.公馆；大厦
mantle,n.披风，斗篷；v.覆盖
manumit,v.解放(奴隶)
manure,n.粪肥；v.给…施肥
manuscript,n.手稿；手抄本
maple,n.枫树(枫树是加拿大的国树)
mar,v.破坏，损伤
marble,n.大理石
mare,n.母马，母驴
margarine,n.人造黄油
margin,n.页边空白，边缘；差额；余地；利润
marginal,a.书页空白处的；不重要的
marine,a.海的；海中的
marionette,n.木偶
marital,a.婚姻的
maritime,a.沿海的；海上的
marked,a.明显的；被监视的
maroon,n./a.栗色(的)
marred,a.受伤的；毁坏变形的
marsh,n.沼泽地，湿地
marshal,v.整理，安排，设置
marsupial,n./a.有袋动物(的)
martial,a.战争的，军事的
martyr,n.烈士，殉道者
marvel,v.对…感到惊异；n.奇迹
mash,v.捣成糊状
mask,n.假面具；v.隐藏(感情)
mason,n.泥瓦匠，石匠
masquerade,n.化装舞会；v.伪装
massacre,n.大屠杀
massive,a.巨大的，厚重的
mast,n.船桅，旗杆
masticate,v.咀嚼；把…磨成浆
mate,n.伙伴；配偶；v.交配
materialize,v.赋予形体，使具体化；实现
maternal,a.母性的
matrix,n.模子；矩阵
mattress,n.床垫
mature,a.成熟的；深思熟虑的
maturity,n.成熟，完备
maudlin,a.感情脆弱的，爱哭的
maul,v.撕裂皮肉，伤害
mauve,a.淡紫色的
maven,n.专家，内行
maverick,n.想法与众不同的人
mawkish,a.自作多情的；淡而无味的，令人作呕的
maximize,v.使增至最大限度
maze,n.迷宫
meager,a.贫乏的；削瘦的
mean,a.卑贱的，吝啬的
meander,v.蜿蜒而流；漫步
measly,a.患麻疹的；小得可怜的
measured,a.精确的；慎重的
mechanical,a.机械的，机械制造的；机械似的，呆板的，体力的
mechanics,n.力学
mechanism,n.结构，机制
medal,n.奖牌，勋章
meddle,v.干涉，干预
meddlesome,a.爱管闲事的
mediate,v.调停
medieval,a.中世纪的，中古的
mediocre,a.平庸的，平凡的
mediocrity,n.平庸，碌碌无为
meditate,v.沉思，反省
meditation,n.沉思，冥想
meditative,a.沉思的，善于思考的
medium,n.媒介；(细菌等的)生存环境
medley,n.混合歌曲；混杂；各种各样的集团
meek,a.温顺的，顺服的
meet,a.合适的
melancholy,a.忧郁的；令人悲伤的
meld,v.(使)混合，(使)合并
mellifluous,a.(音乐等)柔美流畅的
melodrama,n.情节剧；音乐戏剧
melody,n.旋律；歌曲
melon,n.甜瓜
membrane,n.薄膜；细胞膜
memoir,n.回忆录，自传；记事录
memorial,n.纪念碑，纪念物；a.纪念的，悼念的
menace,v./n.威胁，危险
mend,v.修改，改进
mendacious,a.不真的；撒谎的
mendacity,n.虚假
mendicant,a.行乞的；n.乞丐
menthol,n.薄荷醇
mentor,n.导师
mercantile,a.贸易的，商业的
mercenary,a.惟利是图的；n.雇佣兵
mercurial,a.善变的；活泼的
meretricious,a.华而不实的，俗艳的
merit,v.值得
merited,a.该得的，理所当然的
meritorious,a.值得赞赏的
mesa,n.高台地，平顶山
mesh,v.用网捕捉；齿合
metabolism,n.新陈代谢
metamorphose,v.变形
metaphor,n.隐喻，暗喻
metaphysical,a.形而上学的，玄学的
metaphysics,n.形而上学，玄学
mete,v.给予，分配；测量；n.边界
meteoric,a.流星的；昙花一现的
meteorology,n.气象学
methodical,a.细心的，有条不紊的
meticulous,a.细心的，一丝不苟的
metrical,a.测量的；韵律的
metropolis,n.大城市
metropolitan,a.大都市的，首都的
mettle,n.勇气，斗志
mettlesome,a.精神抖擞的
microbe,n.微生物
microorganism,n.微生物，细菌
microscope,n.显微镜
microscopic,a.极小的；显微镜的
miff,n.小争吵
mighty,a.强有力的，强大的
migratory,a.迁移的，流浪的
milestone,n.里程碑；转折点
militia,n.民兵
milk,v.榨取
mill,n.磨坊；压榨机；制造厂
mime,n.哑剧表演；哑剧(演员)
mimic,v.模仿，戏弄；n.模仿他人言行的人
minaret,n.清真寺的尖塔
minatory,a.威胁的，恫吓的
mince,v.切碎；小步走路
mingle,v.混合
miniature,n.小画像；缩影
minimize,v.把…减至最低数量或程度
minion,n.奴才，低下之人
minnow,n.鲦鱼，小淡水鱼
mint,n.大量；巨额
minuet,n.小步舞
minuscule,a.极小的
minutes,n.会议记录
minutia,n.细枝末节，细节
miracle,n.奇事，奇迹
mirage,n.幻影，海市蜃楼
mire,n.泥沼；困境；v.使…陷入困境
mirth,n.欢乐，欢笑
misanthrope,n.愤世嫉俗者
mischievous,a.淘气的；有害处的
miscreant,n.恶棍，歹徒
miser,n.守财奴，吝啬鬼
miserly,a.吝啬的，贪婪的
misgiving,n.担心，疑虑
misinform,v.向…提供错误信息
misnomer,n.名字的误用
misperceive,v.误解
misrepresent,v.误传，歪曲
misrepresentation,n.歪曲
misshapen,a.畸形的，奇形怪状的
missile,n.发射物；导弹
mite,n.极小量；小虫
mitigate,v.减轻，缓和
mitten,n.(四指套在一起拇指分开的)连指手套
mnemonics,n.记忆法，记忆规则
moan,v./n.(痛苦地/的)呻吟；(不满地/的)抱怨
moat,n.壕沟；护城河
mobile,a.易于移动的
mobility,n.可动性，流动性
mock,v.嘲笑；模仿地嘲弄
mode,n.样式，时尚；模式
modest,a.谦虚的，谨慎的；适度的
modicum,n.少量
modify,v.修改，变更
modish,a.时髦的
modulate,v.调整(音的强弱)
mogul,n.显要人物，权势之人
molar,n.臼齿
mold,n.模子；(美)霉；v.塑造
molding,n.装饰线条；铸造物
moldy,a.发霉的
molecule,n.分子
mollify,v.安慰，安抚
mollycoddle,v.过分爱惜，娇惯；n.娇生惯养的人
molt,v.换羽，脱毛；n.换羽(期)，脱毛(期)
molten,v.熔化；a.熔化的
moment,n.瞬间；重要
momentous,a.极重要的，严重的
momentum,n.推进力，势头
monarch,n.君主，帝王
monarchy,n.君主制
monetary,a.货币的
mongrel,n.杂种动物；混血儿
monochromatic,a.单色的
monochrome,a.单色的，单色画的
monocle,n.单片眼镜
monogamy,n.一夫一妻制
monolithic,a.巨石的，巨大的
monologue,n.独白；个人长篇演说
monomania,n.偏狂症，狂热病
monopoly,n.专利权，垄断
monotonous,a.单调的，无聊的
monotony,n.单调，千篇一律
monsoon,n.季雨，季风
montage,n.蒙太奇；拼集画
monumental,a.极大的；纪念碑的
morale,n.士气，精神力量
moralistic,a.道学气的
moratorium,n.停止偿付；禁止活动
morbid,a.病态的，不正常的
mordant,a.讥讽的，尖酸的
mores,n.风俗习惯，道德观念
moribund,a.即将结束的；垂死的
morose,a.阴郁的
morsel,n.一小块(食物)；小量
mortality,n.死亡率
mortar,n.小臼，乳钵；迫击炮
mortgage,n.抵押贷款；抵押证书；v.用…作抵押
mortification,n.耻辱，屈辱
mortify,v.使屈辱，使痛心
mortuary,n.停尸间，太平间
mosaic,n.马赛克；镶嵌细工(把小块玻璃石头等镶嵌成图画)
mosque,n.清真寺(伊斯兰教的寺庙)
mosquito,n.蚊子
mote,n.微粒，微尘
motif,n.(作品)主题，主旨
motility,n.运动性
motley,a.混杂的；杂色的
mottled,a.有杂色的，斑驳的
motto,n.座右铭；箴言
mountainous,a.多山的；巨大的
mourn,v.哀悼，哀伤
mournful,a.悲伤的
movement,n.(交响乐)乐章
muffle,v.使声音降低；裹住
muffled,a.(声音)压低的
muffler,n.消音器；围巾
mulish,a.骡一样的，执拗的
multiple,a.多样的，多重的
multiplicity,n.多样性
multiply,v.乘；增加；繁殖
mumble,v.咕哝，含糊不清地说
mundane,a.现世的，世俗的
municipality,n.市；市政当局(指城市行政区及管理者)
munificence,n.慷慨，宽宏大量
munition,n.军火，弹药
mural,a.墙壁的；n.壁画
murky,a.黑暗的；朦胧的
murmur,v.柔声地说，喃喃而言
muscle,n.肌肉；肌肉的力量
muscular,a.肌肉的；强健的
muse,v.沉思，冥想
mushroom,n.蘑菇；v.雨后春笋般迅速发展
musicologist,n.音乐学者
musket,n.旧式步枪
muster,v.召集，聚集
mutate,v.变异
mute,a.沉默的；v.减弱声音；n.弱音器
muted,a.(声音)减弱的，变得轻柔的
mutineer,n.反叛者，背叛者
mutter,v.咕哝，嘀咕
myopia,n.近视；缺乏远见
myopic,a.近视眼的；缺乏辨别力的
myriad,a.许多的，无数的
mystic,a.神秘的，不可思议的；n.神秘主义者
nadir,n.最低点
nag,v.唠叨，烦扰
naive,a.天真的，纯朴的
narcissism,n.自恋，自爱
narcissist,n.自负的人，自恋者
narcotic,n.催眠药；a.催眠的
narrative,a.叙述的，讲故事的
nascent,a.初生的，萌芽的
natal,a.出生的，诞生时的
natty,a.整洁的；潇洒的
nausea,n.作呕，恶心
nauseate,v.使作呕，使厌恶
nautical,a.船员的，航海的
navigate,v.航海，导航
naysay,v.拒绝，说不
nebulous,a.模糊不清的；云状的
needle,n.针；针叶
needlework,n.缝纫，刺绣
needy,a.贫穷的
nefarious,a.违法的，邪恶的
negate,v.取消；否认
negation,n.否定，拒绝
negligence,n.粗心，疏忽
negotiable,a.可商量的
negotiate,v.商议，谈判，交涉
neolithic,a.新石器时代的
neologism,n.新字，新义
neophyte,n.初学者，新手
nepotism,n.裙带关系
nerve,n.勇气；v.给予力量或勇气
nettle,n.荨麻；v.烦忧，激恼
neurology,n.神经学
neutralize,v.使无效；中和
neutron,n.中子
nexus,n.(看法等的)联系，连结
nib,n.钢笔尖
nibble,v.一点点地咬，慢慢啃
nice,a.精密的
nicety,n.准确，精确
nick,n.小伤口，刻痕
nicotine,n.尼古丁
nightmare,n.恶梦；可怕的事
nil,n.无，零
nip,v.小口啜饮
nitpick,v.挑剔，吹毛求疵
nocturnal,a.夜晚的，夜间发生的
noisome,a.恶臭的；令人不快的
nomad,n.流浪者；游牧部落的人
nomadic,a.游牧的
nominal,a.名义上的，有名无实的
nominate,v.提名；任命，指定
nonchalance,n.冷漠，缺少关怀；沉着
nonchalant,a.冷漠的
noncommittal,a.态度暖味的；不承担义务的
nonconformist,adj./n.不遵照传统生活的(人)
nonentity,n.不重要之人或事
nonflammable,a.不易燃的
nonplus,v.使窘困迷惑；n.迷惑，窘境
nonporous,a.无孔的，不渗透的
nonradioactive,a.非放射性的
nonsensical,a.荒唐的，无意义的
nonthreatening,a.不威胁的
nonviable,a.无法生存的
norm,n.规范，准则
nostalgia,n.怀旧之情
nostrum,n.家传秘方；万灵丹
notable,a.明显的，出众的，重要的
notch,n.V字形刻痕
notorious,a.臭名昭著的
nourish,v.滋养，怀有(希望等)
nova,n.新星
novelty,n.新奇(的事物)
novice,n.生手，新手
noxious,a.有害的，有毒的
nuance,n.细微的差异
nubile,a.(女孩)到婚嫁年龄的；吸引人的
nucleate,v.使成核
nucleus,n.(原子)核
nudge,v.(用肘)轻触，轻推
nugatory,a.无价值的，琐碎的
nullify,v.使无效，取消
numb,a.麻木的
numerous,a.许多的，很多的
numismatist,n.钱币学家，钱币收藏家
nurture,v.抚育，给…营养物，教养；n.养育，营养物；(总称)环境因素
nutrient,n.滋养物质
nutrition,n.营养
oafishness,n.痴呆
oak,n.橡树
oasis,n.绿洲
oath,n.誓言；咒骂
obdurate,a.固执的，顽固的
obedient,a.服从的，顺从的
obeisance,n.鞠躬，敬礼
obese,a.极肥胖的
obfuscate,v.使困惑，使迷惑
obituary,n.讣闻，讣告
objection,n.厌恶，反对
objective,a.客观的；n.目标
obligation,n.责任；债务，欠的人情
obligatory,a.强制性的，义务的
oblige,v.束缚；恩惠于…
obliging,a.恳切的，热心助人的
oblique,a.间接的；斜的
obliterate,v.涂掉，擦掉
oblivious,a.遗忘的，疏忽的
obloquy,n.大骂，斥责
obnoxious,a.令人不愉快的；可憎的
obscure,a.难理解的；不清楚的；v.隐藏；使…模糊
obscurity,n.费解，不出名
obsequious,a.逢迎的，谄媚的
observatory,n.天文台
obsess,v.迷住；使…困窘，使…烦扰
obsessed,a.心神不宁的
obsession,n.入迷；固执的念头
obsolescent,a.即将过时的
obsolete,a.废弃的；过时的
obstacle,n.障碍，干扰
obstinacy,n.固执，倔强，顽固
obstinate,a.固执的，倔强的
obstreperous,a.吵闹的，难管束的
obstruct,v.阻塞，截断
obstruction,n.阻碍(物)，妨碍
obtainable,a.能得到的
obtuse,a.愚笨的；不锐利的
obverse,n./a.正面(的)
obviate,v.排除(困难)
obvious,a.明显的，显而易见的
occlude,v.使闭塞
occult,a.秘密的，不公开的
occupation,n.工作，职业；占领
occurrence,n.事件；发生
octogenarian,n.80～89岁的老人
odds,n.机会，可能性
ode,n.长诗，颂歌
odious,a.可憎的，讨厌的
odium,n.憎恶，反感
odometer,n.(汽车)里程表
odyssey,n.长途的冒险旅行
offbeat,a.不规则的，不平常的
offence(offense),n.得罪；错事
offend,v.得罪，冒犯
offensive,a.令人不快的，得罪人的
offhand,adv./a.事先无准备地(的)；随便地(的)
officious,a.爱发命令的，好忠告的；过度殷勤的
offish,a.冷淡的
off-key,a.走调的，不和谐的
offset,v.补偿，抵消
offspring,n.儿女，后代
offstage,adv./a.台后(的)，幕后(的)
ogle,v.送秋波；n.媚眼
ointment,n.油膏，软膏
olfaction,n.嗅觉
oligarchy,n.寡头政治
omelet,n.煎蛋卷
ominous,a.预兆的，不祥的
omit,v.省略，遗漏；疏忽
omnipotent,a.全能的，万能的
omnipresent,a.无处不在的
omniscient,a.无所不知的，博识的
onerous,a.繁重的，麻烦的
onset,n.(坏情况)开始发作
opacity,n.不透明性，晦涩
opalescence,n.(不透明的)乳白光
opaque,a.不透明的；难懂的
operative,a.(计划等)实施中的；生效的
operetta,n.小歌剧
opine,v.想，以为
opinionated,a.固执己见的
opponent,n.对手，敌手
opportune,a.合适的，适当的
oppose,v.反对
oppress,v.压迫，压制
opprobrious,a.辱骂的，恶名声的
optimism,n.乐观主义
optimist,n.乐观主义者
optimum,a.最好的，最有利的
optional,a.可自由选择的
opulent,a.富裕的；充足的
oracle,n.代神发布神谕的人
oration,n.正式演说，演讲
oratorio,n.清唱剧(没有舞台行动、道具的戏剧)
oratory,n.演讲术
orchard,n.果园
orchestra,n.管弦乐队
ordain,v.任命(神职)；颁发命令
ordeal,n.严峻考验，痛苦经验
ordinance,n.法令，条例
ordnance,n.大炮；军械
ore,n.矿，矿石
organism,n.生物；有机体
orient,a.上升的；v.确定方向；使熟悉情况
original,a.最初的，原始的；有创意的
originality,n.创造性，独特性
ornate,a.华美的；充满装饰的
ornithologist,n.鸟类学家，鸟类学者
ornithology,n.鸟类学
orthodontics,n.畸齿矫正学
orthodox,a.正统的
oscillate,v.摆动；犹豫
osmosis,n.渗透；潜移默化
osseous,a.骨的，多骨的
ossify,v.硬化，骨化；使(传统)僵化
ostensible,a.表面上的
ostentation,n.夸示，炫耀
ostracism,n.放逐，排斥
ostracize,v.放逐，排斥
ostrich,n.鸵鸟；不接受现实的人
other-directed,a.受人支配的
otter,n.水獭
oust,v.驱逐；把…赶走
outgoing,a.友善的；即将离去的
outgrowth,n.自然结果；生长物
outlandish,a.古怪的
outlet,n.出口
outline,n.轮廓；梗概
outmaneuver,v.以策略制胜
outmoded,a.不再流行的
outrage,n.暴行
outset,n.开始，开头
outshine,v.要求比…更好
outskirts,n.郊区，郊外
outspoken,a.直言不讳的
outstrip,v.超过；跑过
outwit,v.以机智胜过
