abandon [ə'bændən] v./n.放弃；放纵
lambaste [læm'beist] v.痛打；痛骂
lament [lə'ment] v./n.悲伤；哀悼
lampoon [læm'pu:n] n.讽刺文章；v.讽刺
lance [lɑ:ns] n.长矛；鱼叉
lancet ['lɑ:nsit] n.手术刀
landfill ['lændfil] n.垃圾堆
landlocked ['lændlɔkt] a.被陆地包围的
landmark ['lændmɑ:k] n.陆标，地标；里程碑
landslide ['lændslaid] n.山崩；压倒性胜利
languid ['læŋɡwid] a.没精打采的，倦怠的
languish ['læŋɡwiʃ] v.变得衰弱；失去活力
languor ['læŋɡə] n.身心疲惫
lank [læŋk] a.（人）瘦长的；（毛发）平直而软的
lap [læp] v.舔着喝水；(水)轻拍，发出轻拍声；(用磨具)抛光、磨光
lapse [læps] n.失误，小错；(时间等)流逝
larder ['lɑ:də] n.食品室
largess ['lɑ:dʒes] n.赠送，赏赐；赠品；贺礼
largesse [lɑ:'dʒes] n.慷慨援助；施舍
lark [lɑ:k] n./v.玩乐，嬉耍
larva ['lɑ:və] n.(昆虫的)幼虫
lash [læʃ] n.鞭子；v.鞭打；捆住
lassitude ['læsitju:d] n.疲倦；没精打采
lasso ['læsəu] n.套索(捕捉牛、马用)
lasting ['lɑ:stiŋ] a.持久的，永久的
latency ['leitənsi] n.潜伏期
latent ['leitənt] a.潜伏的
lateral ['lætərəl] a.侧面的；从侧面的；向侧面的
lathe [leið] n.车床
latitude ['lætitju:d] n.言行自由；纬度
lattice ['lætis] n.(做篱笆或爬藤架等的)格子架
laud [lɔ:d] v.称赞
lava ['lɑ:və] n.熔岩
lave [leiv] v.洗浴；(水)冲刷，沿„流淌
lavish ['læviʃ] a.浪费的，过分花费的；丰富的
laxative ['læksətiv] a.(药)通便的；放松的；n.轻泻药
leak [li:k] v.泄漏；n.泄漏；裂隙，漏洞
leakage ['li:kidʒ] n.渗漏，漏出
lease [li:s] n.租约；租期；v.出租
leaven ['levən] n.发酵剂；影响力；v.发酵；影响
lectern ['lektə(:)n] n.教堂里的读经台
ledger ['ledʒə] n.账簿
leer [liə] v.（挑逗性地）斜眼看，送秋波
leery ['liəri] a.机警的，怀疑的
legacy ['leɡəsi] n.遗产；遗留之物
legend ['ledʒənd] n.地图里的说明文字或图例；传奇
legerdemain [,ledʒədə'mein] n.手法，戏法，障眼法
legion ['li:dʒən] n.兵团；一大群
legislate ['ledʒis,leit] v.制定法律
legislation [,ledʒis'leiʃən] n.法律，法规；立法
legislature ['ledʒis,leitʃə] n.立法机关，立法团体
legitimate [li'dʒitimit] a.合法的；正当的
leisureliness [le'ʒəlinis] n.悠然，从容
leniency ['li:niənsi] n.温和，宽容
lenient ['li:njənt] a.宽大的；仁慈的
lethal ['li:θəl] a.致命的
lethargic [le'θɑ:dʒik] a.昏睡的
lethargy ['leθədʒi] n.昏睡；倦怠；呆滞懒散
levee ['levi] n.防洪堤；堤岸
levelheaded ['levəl'hedid] a.头脑冷静的，稳健的
lever ['li:və] n.杠杆；v.撬动
levity ['leviti] n.轻率；轻浮
levy ['levi] v./n.征税；征兵
lexicographer [,leksi'kɔɡrəfə] n.词典编纂人
liability [,laiə'biliti] n.责任；债务
liaison [li(:)'eizən] n.联系；暧昧关系
libel ['laibəl] v./n.(文字)诽谤，中伤
liberality [,libə'ræliti] n.慷慨；心胸开阔
liberate ['libə(:)reit] v.释放，解放
libertine ['libə(:)ti:n] n.性行为放纵者，浪荡的人
liberty ['libəti] n.（言行上）过度随意，冒失；自主，自由
libretto [li'bretəu] n.(歌剧等)歌词；剧本
license ['laisəns] n.放肆；自由；许可证，执照
licentious [lai'senʃəs] a.纵欲的，淫乱的；放肆的，漠视行为规范的
lien ['li(:)ən] n.扣押权；留置权
ligneous ['liɡniəs] a.木质的，木头的
liken ['laikən] v.把„比作„
limb [lim] n.肢(手或脚)，翼
limber ['limbə] a.易弯曲的；柔软的
limerick ['limərik] n.五行打油诗
limestone ['laimstəun] n.石灰岩
limited ['limitid] a.有限的
limn [lim] v.描写；画
limousine ['liməzi:n] n.大型轿车，大客车
limp [limp] v.跛行，一拐一拐地走；a.软弱的，松软的
limpid ['limpid] a.清澈的；透明的
lineage ['liniidʒ] n.宗系，血统
linear ['liniə] a.线的；成直线的
linen ['linin] n.亚麻织品，亚麻布
linger ['liŋɡə] v.逗留
linguistic [liŋ'ɡwistik] a.语言的
linguistics [liŋ'ɡwistiks] n.语言学
linoleum [li'nəuliəm] n.油毡
lint [lint] n.（裹伤用的）纱布
lionize ['laiənaiz] v.崇拜，看重
liquefy ['likwifai] v.(使)液化；(使)溶解
liquid ['likwid] a.清澈的
liquidate ['likwideit] v.清算(债务)；清偿(债务)
lissome ['lisəm] a.姿态优雅的，柔软的
list [list] v./n.倾斜
listless ['listlis] a.无精打采的
literal ['litərəl] a.字面上的，忠实原义的；精确的
literate ['litərit] a.有读写能力的；有文化修养的
literati [,litə'rɑ:ti] n.文人；学者(复数)
lithe [laið] a.（人身体）柔软的，易弯曲的；敏捷的，轻快的
litigant ['litiɡənt] n.诉讼当事人
litigation [,liti'ɡeiʃən] n.诉讼
litter ['litə] n.垃圾；(一胎所生)一窝(动物)
loaf [ləuf] n.一条(面包)；v.虚度光阴
loath [ləuθ] a.不情愿的，勉强的
loathe [ləuð] v.憎恨，厌恶
lobby ['lɔbi] n.大厅，休息厅
lobe [ləub] n.耳垂；(肺、肝等的)叶
locale [ləu'kɑ:l] n.事件发生的现场、地点
locomotion [,ləukə'məuʃ(ə)n] n.运动，移动
locomotive [,ləukə'məutiv] a.移动的；n.机车，火车头
locus ['ləukəs] n.地点，所在地
lode [ləud] n.矿脉
lofty ['lɔ(:)fti] a.崇高的，高尚的
log [lɔɡ] n./v.日志，记录；n.一段大木头；圆木
logistics [lə'dʒistiks] n.后勤学；后勤
loll [lɔl] v.懒洋洋地坐或卧
longevity [lɔŋ'dʒeviti] n.长寿
longing ['lɔŋiŋ] n.渴望
long-winded [,lɔŋ'windid] a.(演讲或写作)冗长的
loom [lu:m] n.织布机；v.(威胁性)隐约出现
loon [lu:n] n.愚人；疯子
loop [lu:p] n.圈，金属线圈
loophole ['lu:phəul] n.枪眼，小窗，换气孔，透光口
loosen ['lu:sn] v.变松，松开
lope [ləup] n.轻快的步伐；v.使大步慢跑；跳跃
lopsided ['lɔp'saidid] a.倾向一方的，不平衡的
loquacious [ləu'kweiʃəs] a.多话的
lot [lɔt] n.签；命运；v.抽签，划分
lottery ['lɔtəri] n.彩票，抽彩给奖法
lounge [laundʒ] v.懒散地倚靠；n.休息室
loutish ['lautiʃ] a.粗鲁的
low [ləu] v.牛叫
loyal ['lɔiəl] a.忠诚的，忠贞的，忠心的
lubricant ['lu:brikənt] n.润滑剂
lubricate ['lu:brikeit] v.润滑
lucid ['lu:sid] a.表达清楚的，明白易懂的
lucrative ['lu:krətiv] a.赚钱的，可获利的
ludicrous ['lu:dikrəs] a.荒唐可笑的
lug [lʌɡ] v./n.拖，拉
lukewarm ['lju:kwɔ:m] a.微温的，不冷不热的；不热心的
lull [lʌl] n.活动的暂停，间歇；v.使平静
lullaby ['lʌləbai] n.摇篮曲
lumber ['lʌmbə] v.蹒跚而行，笨拙地走；n.杂物，旧家具；木材
lumberjack ['lʌmbədʒæk] n.伐木工
lumen ['lju:min] n.流明(光通量单位)
luminary ['lju:minəri] n.杰出人物，名人
lump [lʌmp] n.块；肿块；v.形成块状
lunar ['lju:nə] a.月亮的
lunatic ['lju:nətik] n.疯子；a.极蠢的
lurch [lə:tʃ] n.突然向前或旁边倒；v.蹒跚而行
lurid ['ljuərid] a.耀眼的；骇人听闻的
lurk [lə:k] v.潜伏，埋伏
lush [lʌʃ] a.繁茂的，茂盛的
lust [lʌst] n.（贬）强烈的欲望
lustrous ['lʌstrəs] a.有光泽的
luxuriant [lʌɡ'zjuəriənt] a.繁茂的；肥沃的
luxurious [lʌɡ'zjuəriəs] a.奢侈的，豪华的
luxury ['lʌkʃəri] n.奢侈(品)
lyric ['lirik] a.抒情的；n.抒情诗；歌词
macabre [mə'kɑ:bə] a.骇人的，可怖的
macerate ['mæsəreit] v.浸软；消瘦
machination [mæki'neiʃ(ə)n] n.阴谋
maculated ['mækjuleitid] a.有斑点的
madrigal ['mɑ:driɡəl] n.抒情短诗，情歌，合唱曲
maelstrom ['meilstrəm] n.大漩涡；大混乱
magenta [mə'dʒentə] n./a.紫红色(的)；n.紫红色的染料
magisterial [,mædʒis'tiəriəl] a.有权威的；威风的
magnanimity [,mæɡnə'nimiti] n.慷慨
magnanimous [mæɡ'næniməs] a.宽宏大量的，慷慨的
magnate ['mæɡneit] n.财主，巨头
magnificent [mæɡ'nifisnt] a.壮丽的，宏伟的；高尚的
magnify ['mæɡnifai] v.放大；赞美
magnitude ['mæɡnitju:d] n.重要性；星球的光亮度
magpie ['mæɡpai] n.喜鹊；多话的人
maintenance ['meintinəns] n.维持，维护
maize [meiz] n.玉米
majestic [mə'dʒestik] a.雄伟的，庄严的，威严的
maladroit [,mælə'drɔit] a.笨拙的
malaise [mæ'leiz] n.不适，不舒服
malapropism ['mælə'prɔpizəm] n.字词的误用
malcontent ['mælkən'tent] a.不满的；n.不满分子，反抗者
malevolent [mə'levələnt] a.有恶意的，恶毒的
malfeasance [mæl'fi:zəns] n.不法行为，渎职
malfunction [mæl'fʌŋkʃən] v.发生故障；n.故障，障碍
malicious [mə'liʃəs] a.恶意的，怨毒的
malign [mə'lain] v.诽谤，中伤；a.邪恶的
malinger [mə'liŋɡə] v.装病以逃避工作
malleable ['mæliəbl] a.(金属)可塑的，有延伸性的；(人主意等)易改变的
malpractice ['mæl'præktis] n.玩忽职守，渎职
mammal ['mæməl] n.哺乳动物
mammoth ['mæməθ] a.巨大的
mandate ['mændeit] n.命令，指令
mandatory ['mændətəri] a.命令的，强迫的
mangle ['mæŋɡl] v.严重毁损；撕成碎片，压碎
mania ['meiniə] n.(医)躁狂，狂；狂热，癖好
manifest ['mænifest] a.显然的；n.旅客名单；载货清单
manifestation [,mænifes'teiʃən] n.表现，显示
manifesto [,mæni'festəu] n.宣言，声明
manifold ['mænifəuld] a.繁多的；多种的
manipulate [mə'nipjuleit] v.操纵
manipulative [mə'nipjulətiv] a.（贬）操纵别人的，对别人控制的
mannered ['mænəd] a.做作的
mansion ['mænʃən] n.公馆；大厦
mantle ['mæntl] n.披风，斗篷；地幔   v.覆盖
manumit [,mænju'mit] v.解放(奴隶)
manure [mə'njuə] n.粪肥；v.给„施肥
manuscript ['mænjuskript] n.手稿；手抄本
maple ['meipl] n.枫树(枫树是加拿大的国树)
mar [mɑ:] v.破坏，损伤
marble ['mɑ:bl] n.大理石
mare ['meəri] n.母马，母驴
margarine [mɑ:dʒə'ri:n] n.人造黄油
margin ['mɑ:dʒin] n.页边空白，边缘；差额；余地；利润
marginal ['mɑ:dʒinəl] a.书页空白处的；不重要的，小的，少的
marine [mə'ri:n] a.海的；海中的
marionette [,mæriə'net] n.牵线木偶
marital ['mæritl] a.婚姻的
maritime ['mæritaim] a.沿海的；海上的
marked [ma:kt] a.明显的；被监视的
maroon [mə'ru:n] n./a.栗色(的)，很深的红棕色(的)
marred [mɑrd] a.受伤的；毁坏变形的
marsh [mɑ:ʃ] n.沼泽地，湿地
marshal ['mɑ:ʃəl] v.有序地整理、安排、设置
marsupial [mɑ:'sju:pjəl] n./a.有袋动物(的)
martial ['mɑ:ʃəl] a.战争的，军事的
martyr ['mɑ:tə] n.烈士，殉道者
marvel ['mɑ:vəl] v.对„感到惊异；n.奇迹
mash [mæʃ] v.捣成糊状
mask [mɑ:sk] n.假面具；v.隐藏(感情)
mason ['meisn] n.泥瓦匠，石匠
masquerade [,mæskə'reid] n.化装舞会；v.伪装
massacre ['mæsəkə] n.大屠杀
massive ['mæsiv] a.巨大的，厚重的
mast [mɑ:st] n.船桅，旗杆
masticate ['mæstikeit] v.咀嚼；把„磨成浆
mate [meit] n.伙伴；配偶；v.交配
materialize [mə'tiəriəlaiz] v.赋予形体，使具体化；实现
maternal [mə'tə:nl] a.母性的
matrix ['meitriks] n.模子，铸模；矩阵
mattress ['mætris] n.床垫
mature [mə'tjuə] a.成熟的；深思熟虑的
maturity [mə'tjuəriti] n.成熟，完备
maudlin ['mɔ:dlin] a.感情脆弱的，爱哭的（尤指酒后）
maul [mɔ:l] v.撕裂皮肉，伤害
mauve [məuv] a.淡紫色的
maven ['meivin] n.专家，内行
maverick ['mævərik] n.想法与众不同的人，持独特见解者
mawkish ['mɔ:kiʃ] a.伤感的；淡而无味的；令人作呕的
maximize ['mæksmaiz] v.使增至最大限度
maze [meiz] n.迷宫
meager ['mi:ɡə(r)] a.贫乏的；削瘦的
mean [mi:n] a.(行为)卑贱的；(金钱方面)吝啬的
meander [mi'ændə] v.(河流)蜿蜒而流；漫步
measly ['mi:zli] a.患麻疹的；（大小，数量，价值）小得可怜的
measured ['meʒəd] a.精确的；慎重的
mechanical [mi'kænikl] a.机械的，机械制造的；(人)机械似的，呆板的
mechanics [mi'kæniks] n.力学
mechanism ['mekənizəm] n.结构，机制
medal ['medl] n.奖牌，勋章
meddle ['medl] v.干涉，干预，管闲事
meddlesome ['medlsəm] a.爱管闲事的
mediate ['mi:diit] v.调停
medieval [,medi'i:vəl] a.中世纪的，中古的
mediocre [,mi:di'əukə] a.平庸的，平凡的
mediocrity [,mi:di'ɔkriti] n.平庸，碌碌无为
meditate ['mediteit] v.沉思，反省
meditation [medi'teiʃən] n.沉思，冥想
meditative ['meditətiv] a.沉思的，深思的，善于思考的
medium ['mi:djəm] n.媒介；(细菌等的)生存环境
medley ['medli] n.混合歌曲；混杂；各种各样的集团
meek [mi:k] a.温顺的，顺服的
meet [mi:t] a.合适的
melancholy ['melənkəli] a.忧郁的，令人悲伤的
meld [meld] v.(使)混合，(使)合并
mellifluous [me'lifluəs] a.(音乐等)柔美流畅的，嗓音甜美动听的
melodrama ['melədrɑ:mə] n.情节剧；音乐戏剧
melody ['melədi] n.旋律；歌曲
melon ['melən] n.甜瓜
membrane ['membrein] n.薄膜；细胞膜
memoir ['memwɑ:] n.回忆录，自传；记事录
memorial [mi'mɔ:riəl] n.纪念碑，纪念物；a.纪念的，悼念的
menace ['menəs] v./n.威胁，危险
mend [mend] v.修改，改进
mendacious [men'deiʃəs] a.不真的；撒谎的
mendacity [men'dæsiti] n.虚假
mendicant ['mendikənt] a.行乞的；n.乞丐
menthol ['menθɔl] n.薄荷醇
mentor ['mentɔ:] n.导师，(无经验人的)有经验、可相信的顾问
mercantile ['mə:kəntail] a.贸易的，商业的
mercenary ['mə:sinəri] a.惟利是图的，只为金钱的；n.雇佣兵
mercurial [mə:'kjuəriəl] a.善变的；活泼的
meretricious [,meri'triʃəs] a.华而不实的，俗艳的
merit ['merit] v.值得；n.优点
merited ['meritid] a.该得的，理所当然的
meritorious [,meri'tɔ:riəs] a.值得赞赏的
mesa ['meisə] n.高台地，平顶山
mesh [meʃ] v.用网捕捉；(齿轮)齿合
metabolism [me'tæbəlizəm] n.新陈代谢
metamorphose [,metə'mɔ:fəuz] v.变形
metaphor ['metəfə] n.隐喻，暗喻
metaphysical [,metə'fizikəl] a.形而上学的，玄学的
metaphysics [,metə'fiziks] n.形而上学，玄学
mete [mi:t] v.给予，分配；测量；n.边界
meteoric [,mi:ti'ɔrik] a.流星的；昙花一现的，短暂的
meteorology [,mi:tjə'rɔlədʒi] n.气象学
methodical [mi'θɔdik(ə)l] a.按次序的，有条不紊的；(人)做事有条理的
meticulous [mi'tikjuləs] a.细心的，极注意细节的，一丝不苟的
metrical ['metrik(ə)l] a.测量的；韵律的，诗体的
metropolis [mi'trɔpəlis] n.大城市
metropolitan [metrə'pɔlit(ə)n] a.大都市的，首都的
mettle ['met(ə)l] n.勇气，斗志
mettlesome ['met(ə)lsəm] a.(褒)精神抖擞的，有斗志的
microbe ['maikrəub] n.微生物
microorganism [maikrəu'ɔ:ɡəniz(ə)m] n.微生物，细菌
microscope ['maikrəskəup] n.显微镜
microscopic [maikrə'skɔpik] a.极小的；显微镜的
miff [mif] n.小争吵
mighty ['maiti] a.强有力的，强大的
migratory ['maiɡrətəri] a.迁移的，流浪的
milestone ['mailstəun] n.里程碑；转折点
militia [mi'liʃə] n.民兵
milk [milk] v.榨取，骗取(钱、情报)
mill [mil] n.磨坊；压榨机；制造厂
mime [maim] n.哑剧表演；哑剧(演员)
mimic ['mimik] v.戏弄性模仿；n.善于模仿他人言行的人
minaret ['minəret] n.清真寺的尖塔(伊斯兰教宣礼塔)
minatory ['minətəri] a.威胁的，恫吓的
mince [mins] v.切碎；（贬）装腔作势地小步走路
mingle ['miŋɡl] v.混合
miniature ['minjətʃə] n.小画像；缩影，小比例
minimize ['minimaiz] v.把„减至最低数量或程度
minion ['minjən] n.奴才，低下之人
minnow ['minəu] n.鲦鱼，小淡水鱼
mint [mint] n.大量；巨额；造币厂；薄荷(糖)
minuet [,minju'et] n.小步舞
minuscule [mi'nʌskju:l] a.极小的
minutes [mai'nju:t] n.会议记录
minutia [mai'nju:ʃiə] n.细枝末节，细节
miracle ['mirəkl] n.奇事，奇迹
mirage ['mirɑ:ʒ] n.幻影，海市蜃楼
mire ['maiə] n.泥沼；困境；v.使„陷入困境
mirth [mə:θ] n.欢乐，欢笑
misanthrope ['misənθrəup] n.愤世嫉俗者
mischievous ['mistʃivəs] a.淘气的，顽皮的，爱胡闹的；有害处的
miscreant ['miskriənt] n.恶棍，歹徒
miser ['maizə] n.守财奴，吝啬鬼
miserly ['maizəli] a.吝啬的，贪婪的
misgiving [mis'ɡiviŋ] n.担心，疑虑
misinform ['misin'fɔ:m] v.向„提供错误信息
misnomer ['mis'nəumə] n.名字的误用
misperceive [,mispə'si:v] v.误解
misrepresent ['mis,repri'zent] v.误传，歪曲
misrepresentation['mis,reprizen'teiʃən] n.误传，歪曲
misshapen [mis'ʃeipən] a.畸形的，奇形怪状的
missile ['misail] n.发射物，投掷物；导弹
mite [mait] n.极小量；小虫，螨虫
mitigate ['mitiɡeit] v.减轻，缓和
mitten ['mitn] n.(四指套在一起拇指分开的)连指手套
mnemonics [ni:'mɔniks] n.记忆法，记忆规则
moan [məun] v./n.(痛苦地/的)呻吟；(不满地/的)抱怨
moat [məut] n.壕沟；护城河
mobile ['məubail] a.易于移动的
mobility [məu'biliti] n.可动性，流动性
mock [mɔk] v.嘲笑；模仿地嘲弄
mode [məud] n.(衣着、艺术的)样式，时尚；模式
modest ['mɔdist] a.谦虚的，谨慎的；（数量、体积等）适度的
modicum ['mɔdikəm] n.少量
modify ['mɔdifai] v.修改，变更
modish ['məudiʃ] a.时髦的
modulate ['mɔdjuleit] v.调整(音的强弱)
mogul ['məuɡl] n.显要人物，权势之人
molar ['məulə] n.臼齿(靠里面的用于咬硬物的大牙齿)
mold [məuld] n.模子；(美)霉菌；v.塑造
molding ['məuldiŋ] n.装饰线条；用模子制作的铸造物
moldy ['məuldi] a.发霉的
molecule ['mɔlikju:l] n.分子
mollify ['mɔlifai] v.使息怒，使平静，安抚
mollycoddle ['mɔlikɔdl] v.过分爱惜，娇惯；n.娇生惯养的人
molt [məult] v.换羽，脱毛；n.换羽(期)，脱毛(期)
molten ['məultən] v.熔化；a.熔化的
moment ['məumənt] n.瞬间；重要；(物)力矩
momentous [məu'mentəs] a.极重要的，严重的
momentum [məu'mentəm] n.推进力，势头；(物)动量
monarch ['mɔnək] n.君主，帝王
monarchy ['mɔnəki] n.君主制
monetary ['mʌnitəri] a.货币的
mongrel ['mʌŋɡrəl] n.杂种动物；混血儿
monochromatic ['mɔnəukrəu'mætik] a.单色的
monochrome ['mɔnəukrəum] a.单色的，单色画的
monocle ['mɔnɔkl] n.单片眼镜
monogamy [mɔ'nɔɡəmi] n.一夫一妻制
monolithic [,mɔnə'liθik] a.整块巨石的；巨大的
monologue ['mɔnəlɔɡ] n.(电影、戏剧中的)独白；个人长篇演说
monomania [,mɔnəu'meinjə] n.偏狂症，狂热病(为单一想法、事物而狂热的病)
monopoly [mə'nɔpəli] n.专利权，垄断
monotonous [mə'nɔtənəs] a.单调的，无聊的
monotony [mə'nɔtəni] n.单调，千篇一律
monsoon [mɔn'su:n] n.季雨，季风
montage [mɔn'tɑ:ʒ] n.蒙太奇(由许多部分组合而成的画面、影片、音乐或文字)；拼集画
monumental [,mɔnju'mentl] a.极大的；纪念碑的
morale [mɔ'rɑ:l] n.士气，精神力量
moralistic [mɔrə'listik] a.(贬)道学气的，道德说教的
moratorium [,mɔrə'tɔ:riəm] n.(经官方同意的)停止偿付；暂停活动
morbid ['mɔ:bid] a.病态的，不正常的
mordant ['mɔ:dənt] a.讥讽的，尖酸的
mores ['mɔ:ri:z] n.风俗习惯，道德观念
moribund ['mɔ(:)ribʌnd] a.即将结束的；垂死的
morose [mə'rəus] a.阴郁的，闷闷不乐的
morsel ['mɔ:səl] n.一小块(食物)；小量
mortality [mɔ:'tæliti] n.死亡率
mortar ['mɔ:tə] n.乳钵；迫击炮
mortgage ['mɔ:ɡidʒ] n.抵押贷款；抵押证书；v.用„作抵押
mortification ['mɔ:tifi'keiʃən] n.耻辱，屈辱
mortify ['mɔ:tifai] v.使屈辱，使痛心
mortuary ['mɔ:tjuəri] n.停尸间，太平间
mosaic [mɔ'zeiik] n.马赛克(把不同颜色的小块玻璃石头等镶嵌成图画)
mosque [mɔsk] n.清真寺(伊斯兰教的寺庙)
mosquito [məs'ki:təu] n.蚊子
mote [məut] n.微粒，微尘
motif [məu'ti:f] n.(作品)主题，主旨
motility [məu'tiliti] n.运动性，游动性
motley ['mɔtli] a.混杂的；杂色的
mottled ['mɔtld] a.有杂色的，斑驳的
motto ['mɔtəu] n.座右铭；格言
mountainous ['mauntinəs] a.多山的；巨大的
mourn [mɔ:n] v.哀悼，哀伤
mournful ['mɔ:nful] a.悲伤的
movement ['mu:vmənt] n.(交响乐)乐章
muffle ['mʌfl] v.使声音降低；裹住
muffled ['mʌfld] a.(声音)压低的
muffler ['mʌflə] n.消音器；围巾
mulish ['mju:liʃ] a.骡一样的，执拗的，顽固的
multiple ['mʌltipl] a.多样的，多重的
multiplicity [,mʌlti'plisiti] n.多样性
multiply ['mʌltipli] v.乘；大量增加；繁殖
mumble ['mʌmbl] v.咕哝，含糊不清地说
mundane ['mʌndein] a.平凡的，世俗的
municipality [mju:,nisi'pæliti] n.自治市；市政当局(指城市行政区及管理者)
munificence [mju:'nifisəns] n.慷慨，礼物的丰厚
munition [mju:'niʃən] n.军火，弹药
mural ['mjuərəl] a.墙壁的；n.(尤指大型)壁画
murky ['mə:ki] a.黑暗的；朦胧的
murmur ['mə:mə] v.低声地说，喃喃而言
muscle ['mʌsl] n.肌肉；肌肉的力量
muscular ['mʌskjulə] a.肌肉的；强健的
muse [mju:z] v.沉思，冥想
mushroom ['mʌʃrum] n.蘑菇；v.雨后春笋般迅速发展
musicologist [,mju:zik'kɔlədʒist] n.音乐学者
musket ['mʌskit] n.旧式步枪，毛瑟枪
muster ['mʌstə] v.召集，聚集
mutate [mju:'teit] v.（生）变异
mute [mju:t] a.沉默的；v.减弱声音；n.(乐器的)弱音器
muted ['mju:tid] a.(声音)减弱的，变得轻柔的
mutineer [,mju:ti'niə] n.反叛者，背叛者
mutter ['mʌtə] v.小声咕哝，嘀咕
myopia [mai'əupiə] n.(医)近视；缺乏远见
myopic [mai'ɔpik] a.近视眼的；缺乏远见的
myriad ['miriəd] a.极大量的，无数的
mystic ['mistik] a.(尤指宗教方面)神秘的，不可思议的；n.神秘主义者(寻求人神交融以求人类不解之真理者)
nadir ['neidiə] n.最低点
nag [næɡ] v.(贬)不断挑剔或批评某人；不断烦扰或伤害某人
naive [nɑ:'i:v] a.天真的，纯朴的
narcissism ['nɑ: sisizəm] n.自恋，自爱，自我陶醉
narcissist ['nɑ:sisist] n.自负的人，自恋者
narcotic [nɑ:'kɔtik] n.催眠或麻醉药；a.催眠的，麻醉的
narrative ['nerətiv] a.叙述的，讲故事的
nascent ['næsnt] a.初生的，萌芽的
natal ['neitəl] a.出生时的，诞生时的，先天的
natty ['næti] a.整洁漂亮的；灵巧聪明的
nausea ['nɔ:sjə] n.作呕，恶心
nauseate ['nɔ:sieit] v.使作呕，使厌恶
nautical ['nɔ:tikəl] a.船员的，航海的
navigate ['næviɡeit] v.航海，导航
naysay ['neisei] v.拒绝，说不
nebulous ['nebjuləs] a.模糊不清的；云状的
needle ['ni:dl] n.针；针叶
needlework ['ni:d(ə)lwə:k] n.缝纫，刺绣
needy ['ni:di] a.贫穷的
nefarious [ni'feəriəs] a.违法的，邪恶的
negate [ni'ɡeit] v.取消，使无效；否认
negation [ni'ɡeiʃən] n.否定，拒绝
negligence ['neɡlidʒəns] n.粗心，疏忽
negotiable [ni'ɡəuʃjəbl] a.可商量的
negotiate [ni'ɡəuʃieit] v.商议，谈判，交涉
neolithic [ni:əu'liθik] a.新石器时代的
neologism [ni:'ɔlədʒiz(ə)m] n.新字，新词
neophyte ['ni(:)əufait] n.初学者，新手
nepotism ['nepətizəm] n.裙带关系(给亲属以特别优待，开小灶)
nerve [nə:v] n.勇气；神经；v.给予力量或勇气
nettle ['netl] n.荨麻；v.烦忧，激恼
neurology [njuə'rɔlədʒi] n.神经学
neutralize ['nju:trəlaiz] v.使无效；中和
neutron ['nju:trɔn] n.中子
nexus ['neksəs] n.(看法等的)联系，连结
nib [nib] n.钢笔尖
nibble ['nibl] v.一点点地咬，慢慢啃
nice [nais] a.精密的
nicety ['naisiti] n.准确，精确
nick [nik] n.小伤口，刻痕
nicotine ['nikəti:n] n.尼古丁
nightmare ['naitmeə(r)] n.恶梦；可怕的事
nil [nil] n.无，零
nip [nip] v.小口啜饮
nitpick ['nitpik] v.挑剔小细节，吹毛求疵
nocturnal [nɔk'tə:nl] a.夜晚的，夜间发生的
noisome ['nɔisəm] a.恶臭的；令人不快的
nomad ['nəumæd] n.流浪者；游牧部落的人
nomadic [nəu'mædik] a.游牧的
nominal ['nɔminl] a.仅仅名义上的，有名无实的
nominate ['nɔmineit] v.提名；任命，指定
nonchalance ['nɔnʃələns] n.冷漠，不感兴趣，缺少关怀；沉着
nonchalant ['nɔnʃələnt] a.冷漠的，不感兴趣的；沉着的
noncommittal ['nɔn'kɔmitəl] a.态度不表明的；不承担义务的
nonconformist ['nɔnkən'fɔmist] adj./n.不遵照传统生活的(人)
nonentity [nɔ'nentiti] n.不重要之人或事
nonflammable ['nɔn'flæməbl] a.不易燃的
nonplus ['nɔn'plʌs] v.使窘困迷惑；n.迷惑，窘境
nonporous ['nɔn'pɔ:rəs] a.无孔的，不渗透的
nonradioactive ['nɔnreidiə'æktiv] a.非放射性的
nonsensical [nɔn'sensikəl] a.荒唐的，无意义的
nonthreatening [,nɔn'θretəniŋ] a.不威胁的
nonviable ['nɔn'vaiəbl] a.无法生存的
norm [nɔ:m] n.规范，准则
nostalgia [nɔs'tældʒiə] n.怀旧之情
nostrum ['nɔstrəm] n.骗人的药、疗法；万灵丹，妙策
notable ['nəutəbl] a.明显的，出众的，重要的
notch [nɔtʃ] n.V字形刻痕
notorious [nəu'tɔ:riəs] a.臭名昭著的
nourish ['nʌriʃ] v.养，滋养；怀有(希望等)
nova ['nəuvə] n.新星(短时间内亮度突然大幅增加，而后回归初始亮度的星星)
novelty ['nɔvəlti] n.新奇(的事物)
novice ['nɔvis] n.生手，新手
noxious ['nɔkʃəs] a.有害的，有毒的
nuance [nju:'ɑ:ns] n.细微的差异
nubile ['nju:bail] a.(女孩)到婚嫁年龄的；性感的，吸引人的
nucleate ['njuklieit] v.使成核；a.有核的
nucleus ['nju:kliəs] n.(原子)核
nudge [nʌdʒ] v.(用肘)轻触，轻推
nugatory ['nju:ɡətəri] a.无价值的，琐碎的
nullify ['nʌlifai] v.使无效，取消
